junction_name,cis_mean,violation_count,lat,lon,validated_pct,predicted_stress_next_h,historical_peak_stress,spillover_centrality,recency_score,quality_bonus,priority_score,rank,patrol_stop,officer_assigned,route_km
BTP028 - Vijayanagar Bus Stand Junction,1.8778088859416444,754,12.972568562228885,77.53806133053999,0.9655172413793104,0.1574,1.0,0.0034345009264042017,0.9468007477083937,0.048275862068965524,0.3854,108,,,
BTP096 - Gali Anjaneya Temple,1.8277442386831275,972,12.952594812896978,77.54121609195656,0.9393004115226338,0.0797,1.0,0.008836226725618622,0.9924329511490518,0.046965020576131694,0.3848,109,,,
BTP184 - Lalbagh West Gate,1.6089232558139535,215,12.94843504744186,77.58018114418606,0.6651162790697674,0.3202,1.0,0.00445015860052478,0.9928527874129089,0.033255813953488374,0.3839,110,,,
BTP076 - Hudson Circle,1.7177208791208791,455,12.968029834285714,77.58880913494505,0.832967032967033,0.1871,1.0,0.006666996406209152,0.9905236957586542,0.04164835164835165,0.3823,111,,,
BTP208 - Havanur Circle,1.848940024630542,812,12.987954160845806,77.53755577344506,0.8288177339901478,0.1357,1.0,0.00635360628939458,0.9899439218704705,0.04144088669950739,0.3809,112,,,
BTP158 - Devegowda Petrol Bunk,1.6192466666666667,45,12.921245118184277,77.56029589125625,0.8444444444444444,0.2815,1.0,0.0034345009264042017,0.9640540189326163,0.042222222222222223,0.3799,113,,,
"BTP188 - 27th Cross, 4th Main, Jayanagar",1.5732578231292518,294,12.929681475170067,77.5805690537415,0.6632653061224489,0.3437,1.0,0.0034345009264042017,0.9900638750887154,0.03316326530612245,0.3796,114,,,
"BTP123 - 10th Cross, Wilson Garden",1.9701319626168226,535,12.94600243397952,77.59607296917757,0.7831775700934579,0.1136,1.0,0.004926237424699807,0.9933326002858885,0.039158878504672895,0.3776,115,,,
BTP067 - Jai Muni Rao Circle,1.7623171149144254,409,12.978517780813087,77.54273679499191,0.9119804400977995,0.122,1.0,0.007335111423631247,0.9778886234368597,0.04559902200488998,0.3754,116,,,
BTP009 - Prakash Nagar Junction,1.4278721374045802,262,12.992517874427481,77.55763266068702,0.9236641221374046,0.2754,1.0,0.00613819326177297,0.9895940583172562,0.04618320610687023,0.375,117,,,
BTP205 - Modi Hospital Junction,1.8039108133971293,1045,12.997488303320912,77.54695407575124,0.9272727272727272,0.1502,1.0,0.00410643787395507,0.988874339007787,0.046363636363636364,0.3739,118,,,
"BTP161 - 15th Cross, 35th Main, JP Nagar",1.5937217391304348,23,12.906264035557681,77.57765224581213,1.0,0.2806,1.0,0.005102270463484439,0.647937304451264,0.05,0.3737,119,,,
BTP106 - VV Puram College,1.4517987421383647,159,12.952855020536774,77.57449485352718,0.9119496855345912,0.265,1.0,0.006265856282436779,0.9785783544417677,0.045597484276729564,0.3733,120,,,
BTP136 - Hosur-Tavarkere Road Junction,1.8666319444444444,360,12.93432707138889,77.60844668972223,0.8638888888888889,0.1541,1.0,0.0034345009264042017,0.9763292315996761,0.04319444444444445,0.3731,121,,,
BTP105 - Shivasankara Circle,1.3139236559139786,186,12.956902590860215,77.57416609784947,0.9301075268817204,0.387,1.0,0.0034345009264042017,0.8731494717060346,0.046505376344086025,0.3714,122,,,
BTP040 - Elite Junction,1.7764532095540213,10718,12.976596713370032,77.5766021547117,0.8592088076133607,0.096,1.0,0.007983905855475305,0.9928727796159498,0.04296044038066804,0.367,123,,,
BTP155 - Katriguppe Junction,1.4363188790560473,339,12.9266994100295,77.55074285663717,0.6460176991150443,0.3263,1.0,0.00635360628939458,0.9796879217105329,0.032300884955752215,0.3663,124,,,
BTP058 - Subbanna Junction,1.8858776835613797,5189,12.979021616597574,77.57866101486218,0.8437078435151282,0.1178,1.0,0.004025548053472265,0.9933226041843681,0.04218539217575641,0.3648,125,,,
"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",1.7639454081632653,196,12.917309109693877,77.57831904234695,0.8928571428571429,0.1025,1.0,0.007042243353890788,0.9760593368586251,0.04464285714285715,0.3629,126,,,
"BTP191 - 40th Cross, 4th Main, Jayanagar",1.4747171428571428,105,12.920106225714285,77.58220127047619,0.9047619047619048,0.2825,1.0,0.0034345009264042017,0.9738601945241356,0.045238095238095244,0.3626,127,,,
"BTP197 - 9th Cross, 24th Main, JP Nagar",1.7414915492957745,284,12.911549545221384,77.58599000264428,0.9929577464788732,0.0793,1.0,0.008413333569456583,0.8752986335329221,0.049647887323943665,0.3607,128,,,
"BTP163 - 16th Main Road, BTM Layout",1.6125994505494508,364,12.91499527445055,77.60852014148351,0.9230769230769231,0.2076,1.0,0.0034345009264042017,0.9790881556193085,0.046153846153846156,0.358,129,,,
